,row,output,mse,is_alpha_credible,log_lik,c_mean,c_var,post_mean,cost,status,post_var,y_test,ls_dim_1,ls_dim_2,ls_dim_3,ls_dim_4,ls_dim_5,ls_dim_6,ls_dim_7,ls_dim_8
76,25,g_5,72258227881293.11,1.0,-17.619888646379973,8659530.90546977,1.342859986839952e+16,178060546.09310454,1476.2985661036132,Converged,236295476588508.0,169560062.11386588,1009116.996507744,9928.454246057921,39461.46953575838,469.15713399082654,1859.5082059465697,754742.400569674,439.0978484595742,782513.4679417165
77,25,g_6,67650763874739.59,1.0,-17.411306500532284,-5867293.1660899315,1.357904470230179e+16,-78979455.13945349,1446.2896967769666,Converged,120677983457838.0,-87204463.58168256,132712.70142440253,144305.09874790232,9852.521976364167,345774.7174564624,615.6713682920412,344836.0045358393,330705.070836791,384.982383005552
78,26,g_4,40861819876776.87,1.0,-17.19800044496314,-91756736.39969563,8938226413525911.0,-114159000.38240337,1406.029964973229,Converged,85609780457405.0,-107766675.30644104,5651.337428976025,21385531.903771877,22202256.735711332,1490.9266527769698,6422991.628351089,479.2152276523012,7013937.805290462,7070740.569833941
79,26,g_5,28158748332407.953,1.0,-18.149036103452744,8176287.771799897,1.3254348229991132e+16,202441968.3424625,1475.7937942945302,Converged,895820957624938.0,207748450.0707273,3352527.8183430275,9909.49430325626,41002.895869036096,465.8985570570745,1855.778909379934,2221265.6112701376,433.5837123889636,2402711.90540553
80,26,g_6,22117755002156.363,1.0,-16.8430368603599,-8216964.939329484,1.3519599390288472e+16,93716662.62592305,1446.8428985259136,Converged,37776366352496.0,98419614.35884105,136645.40919821084,150457.56015299252,9694.721196341865,354872.66109964787,614.6523942149787,364315.1316102251,349844.30492175365,386.4165897870476
81,27,g_4,11997265708.683447,1.0,-16.428435103259417,-90437803.82766302,8756840030443215.0,-211849151.48049456,1406.9286944027845,Converged,29593851700804.0,-211958683.5110093,5556.7355432634395,29299324.448159195,27001119.81832358,1508.8438853356636,45478062.02058948,474.25133142198615,39783367.27836333,40292904.130796626
82,27,g_5,39677538856605.375,1.0,-17.466219602356002,9212397.421141168,1.3582067590406752e+16,119582035.30180286,1477.144712036014,Converged,191852849987002.0,125881046.24453072,89755.04827486014,10039.38984526696,69093.03109442291,475.6992412789372,1791.4979789663835,95958.02844182054,428.3424831395125,103723.51087476684
83,27,g_6,89856667195073.66,1.0,-17.626153138128835,-6595348.109726436,1.3655075438037022e+16,-20208849.94976694,1446.0822399031981,Converged,45934482207802.0,-29688125.61803789,124546.50173009942,138365.85724846396,9806.057479712495,331344.045401845,634.8765608479575,332084.9708261478,315932.80235447787,386.6605333413679
84,28,g_4,964533787772517.6,0.0,-19.756047710490012,-93630601.51888591,8717422943766330.0,9180235.736084402,1447.6158503980778,Converged,204165928719342.0,40237180.01224457,6234.3449211570605,14926.187834082679,13891.205403435906,3862.9846515755685,12454.666593342652,455.8565760849631,11798.706190416413,11320.536440199032
85,28,g_5,151112787042538.84,1.0,-17.75155008657051,9159593.818479542,1.3569516904608456e+16,142347474.278963,1476.1603912998482,Converged,181898293816318.0,130054680.1684876,513306.25012952153,10177.864460154473,43325.12029789124,478.3736897975443,1866.3468998234819,366194.38150215003,426.9942294497857,400187.83374713745
