,row,output,mse,is_alpha_credible,log_lik,c_mean,c_var,post_mean,cost,status,post_var,y_test,ls_dim_1,ls_dim_2,ls_dim_3,ls_dim_4
30,5,f_1,4.888766252121259,1.0,-2.219572871429471,511.09448257671596,2732004.9047216154,11.206136316477057,120.51748671993661,Converged,5.819061721675098,8.995080855363234,23.501402123498206,83.67104662147167,199.74544464948198,80.89093971664542
31,5,f_2,19.29342134505787,1.0,-4.322065374538812,140.10236870018406,71667.83522009327,4.394300012614792,197.38901665350377,Converged,883.9742286582186,0.0018722846882562485,3.4546647586161274,11.05177017299502,11.406087841816875,90251.75590785117
32,5,g_1,4780.120520415316,0.0,-143.85646547255257,13588.003348888964,123.5941936165957,13582.59969320529,113.9617204315959,Converged,16.88799392735683,13513.461277542105,2.2039124397530174,3.1879800726375995,17.377891333285024,6.405062248658233
33,5,g_2,15371.811188902633,1.0,-7.422237545013235,28336.097138694033,5454346.6261093505,29871.91206456132,339.74617824771514,Converged,429692.02200114634,29995.895173043493,4.314381539448332,5.1398166830862335,1.704386460971016,127304.6808868129
34,5,g_3,6.812037485043416e-12,0.0,,61.31392478427822,4722.370785670403,1.009856695746727,-265.08931049377895,Errorb'ABNORMAL_TERMINATION_IN_LNSRCH',0.0,1.009859305734751,583.0722818562665,50475.281282722346,51671.417141466736,822.322547076581
35,5,g_4,126872918.3977413,1.0,-12.623808864211421,8465385.616467495,131288720721318.05,1085132.740922261,585.4407667698531,Converged,14552408022.40625,1096396.5288463007,602369.613701253,711413.2466193812,11.476384779644015,3.1739597549259586
36,6,f_1,0.00021833715514773302,1.0,-0.5986523919847765,388.952548204311,2112488.8581374846,112.26757115440802,122.14653213944482,Converged,0.5267723677679896,112.25279491824492,22.283995070732516,77.15578906891118,189.7374544044944,74.08279405408324
37,6,f_2,34.71531555126995,1.0,-3.6168387903938135,149.6628475839107,71314.30028913305,-5.830483383859217,198.1228914879832,Converged,182.23633528716164,0.061487046418751565,3.6304379087862935,11.373725094243724,10.469923429957799,179759.99312573753
38,6,g_1,16.020104093982546,1.0,-2.9801664398912378,13583.280863060907,461.0758564646742,13602.950026988508,149.67649464632032,Converged,42.228047712832335,13598.947514765669,2.515951747974789,7.178898817041471,1528.0599917797272,0.9153015300154075
39,6,g_2,805316.544235768,1.0,-8.445824257842586,28236.030931404555,5455299.56993566,30858.762574144843,338.9516262808929,Converged,353497.3712535333,29961.36826603064,4.2097198862534055,5.173159434358425,1.9079202994819064,193794.01491987822
40,6,g_3,7.535506715213394e-13,1.0,11.127349665922713,7.138907651989687,6635.446201461927,-1.7873800586769697,-275.38169605060506,Errorb'ABNORMAL_TERMINATION_IN_LNSRCH',3.3651303965598345e-11,-1.787380926749934,764.3551961550602,38082.38315404528,42799.244959696734,714.002042791565
41,6,g_4,8029395.966521453,1.0,-12.987259504835496,8471487.316253338,131197303418022.28,855593.1430839039,585.0885773247117,Converged,30359565161.140625,858426.7619655677,51436.641302248565,61555.37516745565,11.364432875265525,3.1956851786426785
42,7,f_1,27.26685452463796,1.0,-3.2171595275154496,436.73722833224343,1821017.4007276879,77.35198856300445,119.5784823330609,Converged,13.858145219041035,72.13022118742768,21.505501528251507,78.1052040293576,186.15642715806388,69.59117220002432
43,7,f_2,5.900585461014498,1.0,-4.256230029925296,136.63516279430206,70341.12307378251,-2.3083369816023946,197.45040647180394,Converged,786.094322195233,0.12077509094891074,3.4637999280714706,11.05793679601896,11.170773912967242,48093.770817109245
44,7,g_1,8.15003084698369,1.0,-3.248646941234789,13583.195542712658,489.96277881310846,13601.054855048997,149.3764044966364,Converged,97.07255401712115,13598.200029161664,2.630711785105288,7.060497672037624,1739.0352405970461,0.9539419754592341
45,7,g_2,23609.895283992504,1.0,-7.934149670732165,28339.193824617756,5455483.84225677,29800.759827013622,339.2282406995544,Converged,1215911.8351698294,29954.414945001903,4.240877568361304,5.239133022246928,1.6928693287829544,106941.7881560597
46,7,g_3,1.4580647669883997e-11,0.0,,31.23754973828487,6900.9079699596505,-0.5342958110601472,-261.7453438785161,Errorb'ABNORMAL_TERMINATION_IN_LNSRCH',0.0,-0.5342919925987202,1051.8701015111913,29341.34073001154,33181.51388523061,729.1115971375272
47,7,g_4,8531650630.947572,1.0,-12.904619138988885,8315460.210758984,132599212923946.17,6851119.9913287535,585.0345179734304,Converged,13986893513.03125,6943486.926056217,597856.552149997,722024.4628187766,11.633835463577155,3.191657990526193
48,8,f_1,0.37716322349292647,1.0,-2.5882437223778387,395.4068468870225,2212909.3921661708,5.640634229419163,120.15765625047914,Converged,27.8002067245543,6.254770389804567,22.57277956815774,78.04211946584644,186.1672848822817,76.72188661129107
49,8,f_2,248351.63352585345,0.0,-4913.564444454842,4.882820551318156,186.68208909726275,0.5256954805899117,122.08551141908181,Converged,25.285084123803614,498.8746028997328,300312.951249042,118526.96013575749,6.71897220711287,0.49152726955053666
50,8,g_1,48.242483835349105,1.0,-3.53007310541882,13582.84635966105,513.6059989251635,13598.624146789345,149.09039899219695,Converged,126.63566645604959,13591.678465841062,2.7151688716420286,7.15108899875452,1725.5734578325548,0.9830090755747846
51,8,g_2,202722416.289104,0.0,-339.2252562821441,29696.754913565186,506878.916300002,29965.33999499173,298.3448368427402,Converged,305312.41009822884,15727.27775713422,2.1350304310276442,15219.960713180964,5.3623254806929435,0.6391493318369997
52,8,g_3,2.459981689366948e-12,1.0,10.83600545480353,23.01112004975394,7324.8591278369895,1.4847575412185563,-278.85131115803534,Errorb'ABNORMAL_TERMINATION_IN_LNSRCH',5.911715561524034e-11,1.4847591096514332,644.6009656061634,36509.8822383756,41263.35341888999,759.0167834382038
53,8,g_4,5205234081.437389,1.0,-14.371478897173057,8491227.759343738,130881145593178.39,16402.069304043427,583.7320641636097,Converged,478635689220.7344,88549.37751049967,65340.19901616398,79837.37675246916,11.365617590084346,3.197160012690362
